Schools,Student/Faculty,Enrollment,Graduate program,ACT scores,Admission rate,Graduation rate,Male students,Net cost
Boston College,14,14354,0.317472482,33,0.29,0.92,0.47,26284
Clemson,18,22698,0.206273681,31,0.51,0.81,0.53,16622
Duke,7,15984,0.584647147,34,0.11,0.95,0.51,21295
Florida State,25,40830,0.198971345,29,0.56,0.79,0.45,16708
Georgia Tech,19,25034,0.395142606,33,0.32,0.85,0.65,12736
Louisville,13,21294,0.259509721,29,0.72,0.53,0.5,15981
Miami,12,16825,0.340267459,32,0.38,0.82,0.49,35444
North Carolina,14,29084,0.366833998,33,0.31,0.9,0.41,10785
North Caroina State,15,34015,0.291165662,31,0.5,0.75,0.55,13575
Notre Dame,10,12292,0.311584771,34,0.2,0.97,0.52,26284
Pittsburgh,15,28649,0.340011868,31,0.54,0.82,0.49,24311
Syracuse,16,21789,0.302583873,29,0.48,0.81,0.45,30727
Virginia,15,23883,0.299250513,33,0.3,0.93,0.44,14539
Virginia Tech,14,32663,0.222851545,29,0.73,0.83,0.57,18398
Wake Forest,10,7837,0.378461146,31,0.29,0.88,0.47,24929
