Schools,Fac_to_Student,Undergrad_Count,Grad_Count,Tot_Enrollment,Percent_Grad_Student,Tuition_In,ACT_75,Avg_Scholarship,Percent_Admit,Graduation_Rate,Percent_Male,Avg_Net_Cost
Boston College,14,9797,4557,14354,0.317472482,49324,33,34452,0.29,0.92,0.47,26284
Clemson,18,18016,4682,22698,0.206273681,14272,31,10560,0.51,0.81,0.53,16622
Duke,7,6639,9345,15984,0.584647147,49241,34,42704,0.11,0.95,0.51,21295
Florida State,25,32706,8124,40830,0.198971345,6507,29,4694,0.56,0.79,0.45,16708
Georgia Tech,19,15142,9892,25034,0.395142606,12204,33,10417,0.32,0.85,0.65,12736
Louisville,13,15768,5526,21294,0.259509721,10744,29,8795,0.72,0.53,0.5,15981
Miami,12,11100,5725,16825,0.340267459,45724,32,26256,0.38,0.82,0.49,35444
North Carolina,14,18415,10669,29084,0.366833998,8591,33,16925,0.31,0.9,0.41,10785
North Caroina State,15,24111,9904,34015,0.291165662,8581,31,10609,0.5,0.75,0.55,13575
Notre Dame,10,8462,3830,12292,0.311584771,47929,34,35739,0.2,0.97,0.52,26284
Pittsburgh,15,18908,9741,28649,0.340011868,18192,31,10899,0.54,0.82,0.49,24311
Syracuse,16,15196,6593,21789,0.302583873,43318,29,28296,0.48,0.81,0.45,30727
Virginia,15,16736,7147,23883,0.299250513,15192,33,18859,0.3,0.93,0.44,14539
Virginia Tech,14,25384,7279,32663,0.222851545,12485,29,8079,0.73,0.83,0.57,18398
Wake Forest,10,4871,2966,7837,0.378461146,47682,31,37554,0.29,0.88,0.47,24929
